_id,deviceId,temperature,humidity,createdAt
69aac10e1b0c1bff0a8177ea,BOX-DEL-02,5.68,48.58,01-01-2025 00:00
69aac10e1b0c1bff0a8177eb,BOX-DEL-02,5.64,51.14,01-01-2025 00:10
69aac10e1b0c1bff0a8177ec,BOX-DEL-02,5.68,40.05,01-01-2025 00:20
69aac10e1b0c1bff0a8177ed,BOX-DEL-02,5.91,42.02,01-01-2025 00:30
69aac10e1b0c1bff0a8177ee,BOX-DEL-02,5.79,48.81,01-01-2025 00:40
69aac10e1b0c1bff0a8177ef,BOX-DEL-02,5.93,41.38,01-01-2025 00:50
69aac10e1b0c1bff0a8177f0,BOX-DEL-02,5.63,54.03,01-01-2025 01:00
69aac10e1b0c1bff0a8177f1,BOX-DEL-02,5.38,52.54,01-01-2025 01:10
69aac10e1b0c1bff0a8177f2,BOX-DEL-02,5.61,49.78,01-01-2025 01:20
69aac10e1b0c1bff0a8177f3,BOX-DEL-02,5.81,57.82,01-01-2025 01:30
69aac10e1b0c1bff0a8177f4,BOX-DEL-02,5.83,40.09,01-01-2025 01:40
69aac10e1b0c1bff0a8177f5,BOX-DEL-02,5.86,49.21,01-01-2025 01:50
69aac10e1b0c1bff0a8177f6,BOX-DEL-02,6.08,41.93,01-01-2025 02:00
69aac10e1b0c1bff0a8177f7,BOX-DEL-02,6.18,41.29,01-01-2025 02:10
69aac10e1b0c1bff0a8177f8,BOX-DEL-02,6.45,42.67,01-01-2025 02:20
69aac10e1b0c1bff0a8177f9,BOX-DEL-02,6.27,58.89,01-01-2025 02:30
69aac10e1b0c1bff0a8177fa,BOX-DEL-02,6.54,49.76,01-01-2025 02:40
69aac10e1b0c1bff0a8177fb,BOX-DEL-02,6.71,52.91,01-01-2025 02:50
69aac10e1b0c1bff0a8177fc,BOX-DEL-02,6.76,58.78,01-01-2025 03:00
69aac10e1b0c1bff0a8177fd,BOX-DEL-02,6.84,51.19,01-01-2025 03:10
69aac10e1b0c1bff0a8177fe,BOX-DEL-02,7.07,56.61,01-01-2025 03:20
69aac10e1b0c1bff0a8177ff,BOX-DEL-02,7.24,44.2,01-01-2025 03:30
69aac10e1b0c1bff0a817800,BOX-DEL-02,7,46.8,01-01-2025 03:40
69aac10e1b0c1bff0a817801,BOX-DEL-02,7.04,42.33,01-01-2025 03:50
69aac10e1b0c1bff0a817802,BOX-DEL-02,7,56.12,01-01-2025 04:00
69aac10e1b0c1bff0a817803,BOX-DEL-02,6.74,57.36,01-01-2025 04:10
69aac10e1b0c1bff0a817804,BOX-DEL-02,6.92,47.57,01-01-2025 04:20
69aac10e1b0c1bff0a817805,BOX-DEL-02,6.83,40.7,01-01-2025 04:30
69aac10e1b0c1bff0a817806,BOX-DEL-02,6.96,54.15,01-01-2025 04:40
69aac10e1b0c1bff0a817807,BOX-DEL-02,6.82,46.77,01-01-2025 04:50
69aac10e1b0c1bff0a817808,BOX-DEL-02,7.04,47.89,01-01-2025 05:00
69aac10e1b0c1bff0a817809,BOX-DEL-02,7.25,58.33,01-01-2025 05:10
69aac10e1b0c1bff0a81780a,BOX-DEL-02,7.31,57.35,01-01-2025 05:20
69aac10e1b0c1bff0a81780b,BOX-DEL-02,7.57,41.67,01-01-2025 05:30
69aac10e1b0c1bff0a81780c,BOX-DEL-02,7.72,52.53,01-01-2025 05:40
69aac10e1b0c1bff0a81780d,BOX-DEL-02,7.83,56.3,01-01-2025 05:50
69aac10e1b0c1bff0a81780e,BOX-DEL-02,7.92,57.09,01-01-2025 06:00
69aac10e1b0c1bff0a81780f,BOX-DEL-02,7.75,46.44,01-01-2025 06:10
69aac10e1b0c1bff0a817810,BOX-DEL-02,7.71,47.17,01-01-2025 06:20
69aac10e1b0c1bff0a817811,BOX-DEL-02,7.47,43.64,01-01-2025 06:30
69aac10e1b0c1bff0a817812,BOX-DEL-02,7.56,44.04,01-01-2025 06:40
69aac10e1b0c1bff0a817813,BOX-DEL-02,7.35,50.77,01-01-2025 06:50
69aac10e1b0c1bff0a817814,BOX-DEL-02,7.55,41.44,01-01-2025 07:00
69aac10e1b0c1bff0a817815,BOX-DEL-02,7.52,43.37,01-01-2025 07:10
69aac10e1b0c1bff0a817816,BOX-DEL-02,7.52,45.77,01-01-2025 07:20
69aac10e1b0c1bff0a817817,BOX-DEL-02,7.63,48.93,01-01-2025 07:30
69aac10e1b0c1bff0a817818,BOX-DEL-02,7.63,54.19,01-01-2025 07:40
69aac10e1b0c1bff0a817819,BOX-DEL-02,7.5,41.57,01-01-2025 07:50
69aac10e1b0c1bff0a81781a,BOX-DEL-02,7.31,49.49,01-01-2025 08:00
69aac10e1b0c1bff0a81781b,BOX-DEL-02,7.02,56.18,01-01-2025 08:10
69aac10e1b0c1bff0a81781c,BOX-DEL-02,6.84,46.54,01-01-2025 08:20
69aac10e1b0c1bff0a81781d,BOX-DEL-02,7.03,46,01-01-2025 08:30
69aac10e1b0c1bff0a81781e,BOX-DEL-02,7.03,45.56,01-01-2025 08:40
69aac10e1b0c1bff0a81781f,BOX-DEL-02,7.16,44.24,01-01-2025 08:50
69aac10e1b0c1bff0a817820,BOX-DEL-02,7.41,59.13,01-01-2025 09:00
69aac10e1b0c1bff0a817821,BOX-DEL-02,7.57,53.58,01-01-2025 09:10
69aac10e1b0c1bff0a817822,BOX-DEL-02,7.73,53.58,01-01-2025 09:20
69aac10e1b0c1bff0a817823,BOX-DEL-02,7.91,47.86,01-01-2025 09:30
69aac10e1b0c1bff0a817824,BOX-DEL-02,7.9,54.6,01-01-2025 09:40
69aac10e1b0c1bff0a817825,BOX-DEL-02,7.81,40.62,01-01-2025 09:50
69aac10e1b0c1bff0a817826,BOX-DEL-02,7.54,51.12,01-01-2025 10:00
69aac10e1b0c1bff0a817827,BOX-DEL-02,7.75,40.03,01-01-2025 10:10
69aac10e1b0c1bff0a817828,BOX-DEL-02,7.83,58.07,01-01-2025 10:20
69aac10e1b0c1bff0a817829,BOX-DEL-02,7.58,56.07,01-01-2025 10:30
69aac10e1b0c1bff0a81782a,BOX-DEL-02,7.33,44.1,01-01-2025 10:40
69aac10e1b0c1bff0a81782b,BOX-DEL-02,7.17,44.82,01-01-2025 10:50
69aac10e1b0c1bff0a81782c,BOX-DEL-02,7.31,42.97,01-01-2025 11:00
69aac10e1b0c1bff0a81782d,BOX-DEL-02,7.42,49.79,01-01-2025 11:10
69aac10e1b0c1bff0a81782e,BOX-DEL-02,7.55,48.38,01-01-2025 11:20
69aac10e1b0c1bff0a81782f,BOX-DEL-02,7.63,45.82,01-01-2025 11:30
69aac10e1b0c1bff0a817830,BOX-DEL-02,7.87,59.76,01-01-2025 11:40
69aac10e1b0c1bff0a817831,BOX-DEL-02,8.1,47,01-01-2025 11:50
